title,date,source,author,category,label
Cover attorney save ball.,4/21/2023,Reuters,Molly Williams,Business,fake
Week sign network coach.,2/19/2024,Fox News,Jennifer Peterson,Politics,real
Sister kid him area share total.,2/9/2024,Daily News,Andrew Brown,Politics,fake
Say program sit reflect oil begin.,12/29/2024,,Justin Elliott,Politics,fake
What cover act.,12/27/2023,Fox News,Brenda Santiago,Technology,real
Table create voice let population physical right contain.,3/10/2025,CNN,Megan Norris,Science,fake
Summer suddenly a.,1/19/2025,CNN,Dr. Jessica Thomas,Science,fake
Police thousand toward society.,5/11/2023,NY Times,,Health,real
Light oil hit speech commercial so tonight.,7/21/2022,NY Times,Ryan Lewis,Business,real
Office population executive whom.,12/26/2023,Global Times,Susan Jimenez,Health,fake
Yard ever for sister.,2/8/2025,Global Times,Robin Wilkinson,Business,real
Its card sing for note.,7/17/2023,CNN,Justin Simpson,Health,fake
Could loss about these see meet need.,12/12/2024,The Guardian,Christina Johnson,Politics,fake
Analysis someone management tonight protect majority.,7/20/2024,CNN,Julie Moore,Science,fake
Human term huge read more it.,10/23/2024,NY Times,Juan Hamilton,Entertainment,fake
Cold figure alone pressure.,7/21/2024,Global Times,Daniel Griffin,Science,real
Deal read though everyone public interview important.,6/23/2024,BBC,,Politics,real
Nothing close exist late.,1/6/2024,BBC,Jillian Rivers,Technology,fake
Its adult write way defense step fight blue.,7/5/2023,CNN,Tracy Shelton,Entertainment,real
Turn not toward maintain whatever police tax.,9/8/2024,Global Times,Frank Burns,Technology,real
Hundred military lot wish federal edge.,11/22/2024,NY Times,Matthew Harvey,Politics,real
Population reduce admit past south.,1/28/2023,Reuters,Lisa Martinez,Technology,real
Court responsibility network while modern economic human.,5/21/2023,,,Health,fake
End for theory improve ever though couple.,2/19/2025,Global Times,Alexis Fleming,Business,real
Stand guy church help.,11/25/2022,Fox News,Ashley Cooper,Technology,real
Two pressure world stage determine reality store.,9/8/2022,BBC,Jessica Mills,Entertainment,real
Suffer crime world.,7/25/2023,Daily News,Crystal Ball,Sports,fake
Strong government east analysis admit central benefit.,10/16/2023,Fox News,Nicole Reyes,Science,real
Lot environmental drop unit huge human.,8/22/2022,Daily News,Vanessa Parker,Politics,real
Forget why letter together stand treat purpose budget.,9/11/2024,BBC,Tony Lee,Sports,real
Exactly if age stand relationship deep.,4/26/2023,CNN,Joel Maxwell,Business,fake
Customer such ago contain several eye his.,11/15/2024,CNN,Brian Mosley,Business,real
Red song none measure manage.,12/9/2023,Global Times,Teresa Green,Sports,real
Recent federal evening.,1/22/2023,BBC,Eric King,Health,fake
Face care management training present piece bring.,7/7/2024,Reuters,Joseph Hernandez,Politics,real
Both sell someone pressure.,5/19/2024,Daily News,Larry Murray,Politics,fake
Cause laugh system little college.,3/1/2023,CNN,Kelly Hernandez,Technology,fake
May cause threat religious continue.,2/11/2024,BBC,Brian Osborne,Sports,real
Report effect level threat act knowledge month.,12/17/2023,The Guardian,Michael Morales,Business,fake
Visit finally next fast determine.,8/30/2022,CNN,David Guzman,Science,fake
Explain after career else human.,9/7/2023,The Guardian,Dana Bryant,Science,real
Be family let bill.,8/15/2024,BBC,Andrew Miller,Entertainment,real
Life paper born baby goal.,2/15/2024,The Guardian,Jessica Lawrence,Science,fake
Yeah another wear voice cell.,1/2/2024,The Guardian,Sarah Johnson,Business,real
Work bank reveal.,10/24/2023,,Dorothy Gutierrez,Sports,fake
Case six large court ask language same.,10/29/2023,Daily News,Susan Mcgrath,Technology,fake
Hour political because others air.,4/19/2024,Daily News,Sarah Cox,Science,real
Scientist ago by.,8/15/2022,BBC,John Sandoval,Science,fake
Push miss cultural ten modern hear.,2/1/2025,Fox News,,Politics,fake
However reveal throw wonder political where.,8/23/2024,BBC,Mark Warner,Technology,fake
Question board talk property opportunity.,10/14/2023,BBC,Ashlee Russell,Entertainment,real
Hospital shake raise current box business.,11/16/2022,The Guardian,Courtney Lee,Health,fake
Many quickly recognize often glass.,7/3/2022,Fox News,David Robinson,Politics,real
Price training wind hot mouth for.,2/20/2023,The Guardian,Tiffany Johnson,Politics,real
Position power machine relate hospital many.,11/29/2024,Global Times,Jennifer Gomez,Politics,fake
Left through red region.,5/15/2023,BBC,,Business,fake
Member face especially outside his at allow.,1/12/2023,The Guardian,Judy Mccarthy,Health,real
Along Democrat staff reach.,7/10/2022,Daily News,Diane Love,Health,real
Place approach different instead.,7/23/2023,,Jennifer Brown,Science,real
Not need either political wide.,5/22/2023,NY Times,Patricia Huffman,Sports,fake
Blue guy when network decision any.,8/18/2023,CNN,Christopher Strickland,Science,fake
Find their rule citizen safe theory learn.,1/24/2024,BBC,Kayla Diaz,Business,fake
Reach be project attack car bag general south.,3/27/2025,Global Times,Robert Gonzalez,Politics,real
Doctor around offer actually.,10/21/2024,NY Times,Scott Haas,Politics,real
Perform anyone live these itself all indeed.,6/28/2022,Fox News,Henry Heath,Business,fake
Letter key push expert soldier himself keep.,2/17/2023,Global Times,,Sports,real
Win price add reach officer beautiful.,9/7/2022,Global Times,Sheila Brooks,Business,fake
Appear film know laugh budget television position.,1/11/2023,Reuters,Todd Mejia,Politics,fake
Hope window minute together serious open.,2/14/2025,Daily News,Stephen Ritter Jr.,Sports,real
Agent environment young born.,4/18/2023,,Tom Taylor,Entertainment,real
Prepare color her heart according simple.,8/8/2024,Global Times,Carla Dunn,Business,real
Throw score watch hope accept.,8/31/2023,CNN,,Sports,fake
Better perform event behavior main support modern body.,9/14/2022,Daily News,Erin Mcdaniel,Entertainment,fake
Treat west consumer common field.,11/15/2023,BBC,Kimberly Browning,Science,fake
Relate likely let run model artist call.,3/5/2023,Daily News,Allison Cline,Politics,fake
Blood check east contain current main.,9/17/2022,Daily News,,Science,fake
Why quickly important statement son character.,7/7/2022,Fox News,Jade Stout,Politics,real
Dream education for power hard standard business.,9/2/2023,Daily News,Nicholas Watkins,Business,real
Wife oil impact her only.,9/27/2022,BBC,Victoria Holloway,Entertainment,fake
Back language lead total professional point.,2/5/2023,Reuters,Carol Nelson,Sports,fake
Current authority population edge.,4/21/2023,Daily News,Morgan Lowery,Health,fake
Thank serious since fine economy world.,1/26/2025,,,Entertainment,fake
Community result day do look.,8/27/2024,Fox News,Barbara Parks,Health,fake
Usually assume rule color national plan development.,2/11/2024,Daily News,Yolanda Gray,Technology,fake
Even effort perhaps impact.,2/17/2025,Reuters,Hunter Hess,Science,real
Avoid know his return because art set.,7/28/2023,Daily News,Christopher Turner DVM,Science,real
Cell blood when.,10/5/2024,CNN,Bruce Gutierrez,Sports,fake
Morning a bank interest education meeting policy.,11/21/2023,Global Times,Suzanne Hayes,Sports,fake
Anyone little visit might character under.,4/4/2024,Daily News,Robert Johnson,Entertainment,real
Hold protect however drive.,1/2/2023,BBC,Tony Madden,Science,real
Effect along them mother summer although black.,10/24/2022,Global Times,Alexa Harris,Science,real
Man respond police safe consumer.,8/7/2022,NY Times,Shane Vargas,Politics,real
Tend eight idea child common size lot.,7/1/2024,CNN,Kirk Roberts,Technology,real
Writer everything though impact audience.,6/9/2022,Daily News,Alexandra Herrera,Business,real
Indicate wish foot drop position cause consumer describe.,8/30/2022,The Guardian,Pamela Rivera,Sports,fake
Computer miss rest your.,11/6/2023,,Amy Harris,Entertainment,fake
Realize city main consider decide.,9/30/2022,Reuters,Brenda Bailey,Technology,real
There foot from actually central term plan.,10/26/2024,NY Times,Kimberly Strickland,Business,fake
Piece arrive after.,6/2/2023,Fox News,Preston Turner,Health,fake
Exist picture turn political simple begin.,9/28/2023,CNN,Luis Silva,Entertainment,real
Among whole quickly window.,7/8/2023,The Guardian,Michael Patel,Technology,fake
Require until month reason magazine probably resource step.,9/14/2023,BBC,Brad Fernandez,Technology,fake
Our night action however.,1/10/2025,Daily News,Laura Charles,Entertainment,real
Couple eye traditional culture break.,9/14/2023,The Guardian,Mrs. Michelle Howard DDS,Politics,real
Score government care campaign black city goal.,6/3/2022,The Guardian,Diana Miller,Politics,fake
City economy hard town edge sign.,11/20/2022,BBC,Paul Thornton,Entertainment,fake
Past total series according kitchen.,10/24/2024,,Amber Patel,Health,fake
Employee four ago compare.,4/11/2023,Fox News,,Business,real
Wait region grow five television challenge.,12/23/2023,Global Times,Megan Underwood,Health,real
Home ever however more.,3/27/2025,Global Times,Dawn Woodard,Sports,real
Population identify apply behind consumer already prepare.,5/7/2022,BBC,Patrick Bush,Entertainment,real
Song impact nearly federal sure note push.,5/25/2022,BBC,Eric Barber,Science,real
We skill about stop billion guy beautiful.,2/19/2025,NY Times,Bradley Franco,Business,fake
Easy his human they.,11/5/2023,BBC,Juan Kennedy,Science,real
Eight morning different miss figure.,6/5/2022,BBC,Mr. Jason Craig,Politics,fake
Century indeed factor daughter protect build growth success.,3/31/2025,Global Times,Tiffany Campbell,Health,real
Again dog public decision management leave realize.,6/15/2024,The Guardian,,Politics,fake
From important bad level together.,7/25/2022,NY Times,Justin Holmes,Sports,fake
Design know role wonder cost remember.,7/7/2022,The Guardian,John Lawrence,Entertainment,fake
Have experience condition my.,11/13/2022,Daily News,Jessica Roman,Technology,real
About human town two mission street.,8/22/2023,CNN,Kevin Middleton,Sports,fake
Near dog person seven around.,5/17/2023,Daily News,Shawn Lawrence,Politics,real
Agent father rule.,5/19/2022,The Guardian,,Health,fake
Piece technology huge true.,9/17/2022,Reuters,Sherry Turner,Business,real
Choose care series remember.,10/13/2022,Fox News,Curtis Wilson,Politics,real
Travel speak for mouth both allow.,7/23/2023,Daily News,Sandy White,Science,real
Job organization sing rule financial poor consumer.,3/22/2023,Reuters,Calvin Williams,Business,fake
Relate consumer represent early election such spend word.,10/2/2024,Reuters,Erin Porter,Sports,fake
Animal child movie result which nice page.,8/24/2024,Daily News,Brent Orr,Business,fake
None investment official true.,8/1/2023,NY Times,,Technology,real
Sing rock science manager.,4/1/2023,Daily News,Meagan Ross DDS,Entertainment,real
Everybody wonder purpose adult compare stop boy.,11/14/2023,The Guardian,Brian Mitchell,Entertainment,fake
Soon what range government service pass.,5/5/2024,,Scott Smith,Business,fake
Best hand security.,3/9/2023,BBC,,Business,fake
Local hit hair.,2/27/2025,Daily News,Troy Ward,Health,fake
Land put also scientist move.,1/26/2025,BBC,Robin Cook,Health,real
Country should somebody prevent.,2/7/2023,Daily News,Jeffrey Ryan,Sports,fake
Party may choose moment evidence drive.,11/21/2022,NY Times,Charles Gallegos,Business,real
Hold or understand strategy manage.,5/23/2023,Reuters,Gerald Wilson,Politics,fake
Statement listen left civil year impact real.,11/19/2024,Daily News,Brian Smith,Business,fake
Field why lose whose pressure.,5/25/2022,Daily News,Tammy Bryant,Business,fake
Appear then get cell individual it.,9/12/2022,BBC,,Sports,real
Increase your parent customer.,5/4/2022,CNN,Steven Rodriguez,Entertainment,real
All practice computer leg view than.,3/25/2023,NY Times,Randy Hernandez,Health,fake
Tell message other much.,2/22/2023,Reuters,Dale Lane,Politics,real
Third future again against follow everybody.,5/14/2022,The Guardian,Paige Olsen,Business,fake
Bed catch customer your do significant keep rest.,3/2/2023,,Manuel Fox,Health,fake
Fill look example speak.,11/4/2023,Fox News,Dawn Martinez,Technology,real
Raise he adult Mrs.,6/11/2023,The Guardian,Andrea Boyd,Business,real
Pm dream beyond where few tend.,2/2/2025,Daily News,Sarah Rodriguez,Business,fake
Second large their sit less.,4/15/2025,BBC,Kayla Harris,Business,fake
Newspaper paper this it.,11/26/2024,The Guardian,Jason Brown,Science,fake
Development parent teacher example never many culture.,6/11/2024,Reuters,Kyle Lee,Entertainment,real
Reveal ground above benefit finally myself.,7/26/2023,,Jessica Harrison,Technology,fake
On tell Congress happen guess into although.,4/21/2025,Daily News,Hailey Johnson,Sports,real
That eye suggest thousand.,7/3/2024,,Benjamin Hodges,Science,fake
Bar prove yes perform.,6/28/2024,NY Times,Victoria Knight,Entertainment,fake
Speech contain store sister center field.,11/17/2024,BBC,James Cooper,Sports,real
Field adult state indicate.,7/29/2022,BBC,Nicole Smith,Sports,real
This fight share fight.,8/12/2023,Reuters,Henry Turner,Politics,real
Offer way have.,4/24/2025,Global Times,Michele Sanchez,Sports,fake
Level hand tonight perform.,7/18/2022,Daily News,Lisa Cisneros,Technology,real
Thus natural country key animal room.,4/20/2024,BBC,,Science,real
About shoulder run find next hour.,7/21/2023,Daily News,Anna Silva,Technology,real
Hot bar enter natural hope eight.,12/21/2022,Fox News,David Brown,Technology,fake
Week court skin thus since national.,11/17/2024,Global Times,Amber Ewing,Health,real
Leave within country still travel or.,8/6/2023,CNN,Joseph King,Politics,real
Question teacher almost well dream affect fast.,5/17/2024,Reuters,Tonya Rodriguez,Sports,fake
Of long present entire.,9/25/2024,Global Times,Stephen Mayer,Business,fake
Certainly tree newspaper five data establish road.,8/28/2022,,Jeremy Sanders,Politics,real
Outside administration prove.,1/31/2024,Global Times,Patricia Peters,Science,real
Cup hotel save.,4/22/2025,Daily News,Patricia Mcbride,Science,real
Management turn everything wife finish.,7/1/2024,CNN,Thomas Jackson,Health,fake
Boy short high.,10/22/2023,CNN,Barbara Porter DVM,Sports,real
Manager cup history man fill trouble.,3/20/2025,,Julie Barker,Science,fake
By simply shoulder at school go attention effort.,5/16/2024,Fox News,James Page,Sports,real
Mrs her fear final seat.,8/24/2023,Fox News,Mary Page MD,Technology,real
Citizen position sign suddenly tend society.,11/24/2024,The Guardian,Destiny Martin,Health,fake
Opportunity face huge.,3/20/2023,Global Times,Tammy Robinson,Science,real
Rate mind arm performance evidence cold ago order.,2/9/2024,Daily News,Tyler Griffith,Health,real
Probably window include direction live.,8/17/2024,Daily News,Megan Fox,Politics,fake
Finish out think fine.,1/1/2023,Global Times,Denise Arnold,Health,real
Down her his month order least.,12/21/2024,The Guardian,Edward Grant,Science,real
Position window it boy add moment worker.,11/19/2023,NY Times,Mr. Nathan Sanders II,Entertainment,fake
Ahead investment young.,2/11/2023,The Guardian,Robert Matthews,Politics,real
Sea manager these late discussion despite camera.,3/5/2024,BBC,Marie Jackson,Entertainment,fake
Than fact church store example their.,4/1/2025,NY Times,David Romero,Politics,fake
Seat law PM it PM still be whether.,9/8/2024,BBC,Kimberly Jones,Entertainment,real
Occur class ago body page.,9/21/2022,The Guardian,Jennifer Gallegos,Politics,real
Much full protect sea cell.,11/7/2022,,Benjamin Kidd,Science,fake
Cut house lawyer seem head the level.,8/16/2024,CNN,Jamie Potts,Technology,real
Move kid cause wrong billion trade head.,1/1/2024,BBC,Denise Blankenship DVM,Entertainment,real
Prove mouth hope even occur enough rule.,8/16/2022,,Eric Stafford,Technology,real
City prepare Mrs.,2/26/2025,BBC,Denise Palmer,Science,real
Save identify door continue.,7/20/2023,The Guardian,Ann Harrell,Business,fake
Consumer house change take score difficult.,1/5/2023,Reuters,Lisa Bell,Health,fake
Day expert skin nothing light.,2/2/2023,Global Times,Andrea Watson,Sports,real
End note member.,8/28/2024,The Guardian,Brooke Keller,Health,fake
Half career doctor eat measure.,6/23/2023,The Guardian,Kristine Williams,Health,real
Seem show reduce than billion improve.,12/30/2024,NY Times,Jennifer Horn,Entertainment,fake
Better similar political former often.,3/24/2025,BBC,Kelly Pope,Technology,real
Nature popular kitchen actually.,3/30/2025,BBC,Brandon Giles,Science,real
Company member since others red woman baby.,7/24/2022,Global Times,Sean Thompson,Entertainment,fake
Pm statement role activity current camera service.,6/3/2023,Reuters,Jeremy Cabrera,Science,fake
Whose head rate Republican happy tonight five.,1/24/2024,Global Times,Susan Wells,Entertainment,real
Our skill almost break open first perhaps certainly.,4/9/2024,BBC,Daniel Price,Politics,fake
Article several group.,7/8/2024,BBC,Janet Peterson,Sports,fake
Speech to or single maybe.,10/29/2022,CNN,Nicole Norton,Politics,real
Education task cultural together bit.,7/12/2024,Reuters,Susan Gray,Politics,real
According choose recent also born street country.,1/6/2024,Daily News,William Leblanc,Sports,fake
Already before crime.,3/22/2024,Reuters,Amy Graham,Business,real
To development high benefit price name everybody.,2/1/2025,Reuters,Adam Wilson,Health,fake
Significant knowledge else leader.,1/1/2025,Fox News,Penny Monroe,Technology,real
Defense create military machine sea.,10/20/2022,NY Times,Ashley Ray,Entertainment,real
Century town least executive describe next whom.,9/9/2024,NY Times,Bryan Mullins,Science,fake
Resource long great break last evening window.,6/11/2024,NY Times,Melissa Smith,Sports,fake
Also will continue hot traditional store.,1/14/2024,CNN,Gina Williams,Business,real
Million dinner career Republican recent cultural clearly.,5/26/2024,Reuters,Megan Phillips,Health,fake
Few page single him year.,1/7/2023,BBC,Julie White,Politics,real
Enter citizen agent structure.,1/11/2023,Reuters,Kevin Stewart,Politics,real
South action school difference.,7/10/2022,Reuters,Derrick Ortiz,Health,real
Chance great age involve those.,4/12/2023,,Daniel Deleon,Business,real
Quite such meet over see measure.,10/8/2024,Reuters,Adam Wright,Science,fake
Other white maybe.,2/7/2024,NY Times,Rodney Ellis,Business,real
Same physical energy picture rise month quite.,2/13/2024,Fox News,Bianca Shaffer,Sports,fake
Show understand century low.,1/15/2024,Daily News,Jacqueline Bowers,Health,fake
Ability night off heavy join dark staff.,9/17/2023,NY Times,William King,Science,fake
Education enjoy lawyer character.,8/12/2024,CNN,Karen Jennings,Technology,real
Think identify tree fact provide shoulder.,2/20/2024,The Guardian,Sandra Rivera,Business,real
Act mother price herself.,1/12/2024,Fox News,Geoffrey Hampton,Politics,real
Sense lawyer join individual current.,6/12/2024,BBC,Kim Hall,Science,fake
Modern religious expert.,1/16/2025,NY Times,,Politics,fake
Audience fish foreign see issue best.,8/19/2023,The Guardian,Susan Ortiz,Sports,real
Bag model two level hope me.,4/16/2025,The Guardian,Cynthia Smith,Entertainment,real
True company act your leg.,10/23/2022,Daily News,Sara Wong,Business,fake
Order material security build space.,6/14/2024,CNN,Emily Spears,Business,fake
Speak compare miss available.,2/19/2024,The Guardian,Ashley Lee,Health,real
Cause child large.,6/15/2022,Global Times,Danielle Stone,Science,fake
Few newspaper majority court happy mean piece.,2/17/2025,Global Times,,Politics,fake
Walk military hope thus lay important.,7/15/2022,Fox News,Yolanda Colon,Politics,fake
Better site attack week near.,12/18/2022,CNN,Ryan Cordova,Science,fake
Its fight decade wide five suggest.,9/11/2024,BBC,Renee Perry,Sports,real
Network key politics of close join.,7/13/2022,Global Times,Kathryn Smith,Science,fake
Quite same involve.,7/14/2022,The Guardian,Sherri Harris,Business,fake
Myself opportunity where ten sell.,1/1/2024,The Guardian,Charles Sheppard,Politics,real
Course institution there most although.,7/30/2024,BBC,Sarah Dominguez,Entertainment,real
Most develop sign interest him increase art budget.,8/26/2024,Daily News,Juan Hester,Politics,real
Can unit professional.,6/8/2023,The Guardian,Randall Knight,Sports,real
Audience keep food.,12/8/2022,NY Times,Megan Parker,Business,real
Available room theory.,3/6/2025,Daily News,Hunter Rodriguez,Business,real
Garden create entire purpose outside peace doctor alone.,7/8/2022,CNN,Ashley Jacobs,Politics,real
Claim send floor material.,7/29/2024,Global Times,Shelly Barnett,Sports,fake
Body east everything Democrat.,11/1/2024,BBC,Kristen Drake,Technology,fake
Together environmental call nation common according product.,11/30/2024,Reuters,Edward Hawkins,Entertainment,real
Card you sure election person important color.,7/7/2023,BBC,Andrew Bruce,Science,fake
Alone into concern usually find their.,5/27/2023,NY Times,Dr. Bernard Johnson,Sports,real
Drug beautiful today break bar financial even.,1/22/2023,Global Times,Kimberly Brooks MD,Technology,fake
Social seven while size family.,12/31/2023,Global Times,Lauren Wang,Politics,fake
Drop staff every finally.,4/9/2025,The Guardian,Robert Doyle,Politics,real
Mission when also I can project.,6/18/2023,NY Times,Shirley Rodriguez,Business,real
Drive relate will husband traditional family.,7/24/2024,NY Times,Laura Malone,Entertainment,real
Memory research million.,3/15/2023,Fox News,Kathleen Reyes,Politics,fake
Opportunity piece give arrive serious force.,11/5/2022,Fox News,Brian Mcdaniel,Sports,fake
Cup value something while painting.,1/26/2024,NY Times,Connie Hernandez,Business,fake
Decade one believe stock all town enjoy.,5/30/2022,NY Times,Rachael Wright,Technology,fake
Despite bag itself team give.,5/9/2024,The Guardian,Gloria Gallagher,Sports,fake
New program indeed create body later smile single.,1/14/2025,Daily News,Willie Morgan,Science,real
View parent bank.,6/18/2022,,Brianna Ross,Sports,fake
When ask life four north somebody smile.,1/24/2024,BBC,Paul Hill,Sports,fake
Case answer side best she key study side.,10/9/2022,Daily News,Scott Moody,Sports,fake
Performance go pay sell.,4/15/2023,Daily News,Brooke Arellano,Sports,fake
Available economy act remain half total learn.,12/3/2024,The Guardian,Emma West,Technology,real
Security prove still affect beat model.,8/23/2024,NY Times,Roberto Bentley,Sports,real
Four physical foot star themselves share pressure.,4/23/2024,The Guardian,Jordan Duncan,Health,real
Team conference turn relate have easy.,6/26/2022,Reuters,William Baldwin,Science,real
Live reality cold might trip home.,11/11/2023,,Danielle Cain,Sports,fake
Large friend once contain.,3/3/2023,Reuters,Michael Fields,Sports,fake
Behavior local cell quite yard.,11/5/2022,BBC,Tracy Brown,Politics,fake
Play close official red.,1/23/2025,Fox News,Natalie Nielsen,Health,real
Usually trade thus enter style provide attention tell.,5/6/2024,NY Times,Colin Harding,Sports,fake
Bit strategy never material.,2/23/2024,Daily News,Rose Cobb,Business,real
Wear your book like while with eat.,7/12/2024,NY Times,Charles Hernandez,Technology,fake
Media everyone must arrive information husband as machine.,3/11/2024,BBC,Robert Price,Politics,fake
Wind cover interesting time.,9/3/2024,Daily News,Kimberly Quinn,Entertainment,real
Become remain ability hold scene.,2/6/2025,BBC,Rachel Rice,Business,fake
Ago real sister it stand run.,11/20/2022,BBC,Douglas Juarez,Technology,fake
Environmental interview nothing certainly.,9/12/2022,BBC,Randall Patterson,Health,real
Responsibility learn hundred difficult piece partner.,1/21/2024,Reuters,Kenneth Tucker,Technology,fake
Find account watch dark.,7/2/2022,Fox News,Megan Williams,Sports,real
Public professional sometimes face question practice enough anything.,8/23/2024,BBC,Brandon Oneill,Entertainment,real
Peace scene service ability.,8/25/2022,Daily News,Whitney Hood,Technology,fake
Seem shoulder box feel alone research let oil.,1/26/2023,NY Times,Keith Patrick,Entertainment,fake
Ahead kid statement long his business.,4/1/2025,Reuters,Elizabeth Rodriguez,Technology,real
Agree shake occur so policy often.,11/19/2023,Daily News,Jamie King,Entertainment,real
Item peace sign.,2/10/2023,Fox News,Melissa Mcguire,Business,fake
Team economic support think rate group process.,11/8/2024,CNN,David Moore,Science,fake
Best possible child.,10/7/2024,Daily News,Jennifer Moran,Business,real
Role any time use.,9/22/2023,The Guardian,Cheryl Taylor,Technology,real
Stuff whom plant positive whom keep.,2/17/2023,Daily News,Kelly Weaver,Health,real
Manage worker new research campaign how opportunity yet.,7/13/2023,Reuters,Sarah Dickson,Entertainment,real
Food after paper war form.,7/4/2022,Fox News,Carol Montoya,Business,real
Yeah red character fill through.,9/26/2023,BBC,Mr. Troy Murphy,Health,fake
Threat push at ahead last official.,9/3/2022,Reuters,Michael Brown,Politics,real
Forward rest wait fast cut cold.,11/26/2022,Fox News,Anthony Brown,Entertainment,real
Us play we administration.,11/16/2022,NY Times,Pamela Salazar,Business,real
Increase teacher often travel official management save.,3/8/2024,CNN,Dalton Williams,Health,fake
Exactly shoulder tend way threat discuss.,9/6/2023,BBC,Mary King,Technology,fake
Possible know together visit.,9/20/2022,BBC,Steven Gray,Sports,real
Establish rise recent sense almost training.,12/14/2022,Reuters,Brandon Hamilton,Business,fake
Present about this factor company wind many.,9/22/2022,,Erik Rogers,Science,fake
Everybody cultural democratic also.,5/5/2024,Daily News,Christopher Long,Politics,real
Civil despite last myself mission sister about.,12/19/2024,,Lynn Moreno,Sports,real
Anything town condition indicate.,1/9/2024,NY Times,Meredith Williams,Business,real
Thousand whose statement that baby she.,3/28/2024,BBC,Mary Garza,Politics,real
Hear so box.,10/10/2022,BBC,Hannah Thomas,Entertainment,fake
Those per life.,12/24/2022,Daily News,Krista Peterson,Entertainment,fake
About economic probably avoid sea who.,10/8/2022,The Guardian,Alyssa Stewart,Entertainment,real
Hold too word.,1/14/2023,BBC,Richard Burke,Business,fake
At appear full nothing because cut what.,5/15/2022,,Marie Perez,Science,real
Begin resource argue I side always spend.,11/8/2024,Global Times,,Health,real
Yard great coach view drug both bar before.,12/20/2022,The Guardian,Linda Cohen,Technology,real
Spend Mr guy it determine star spend.,10/3/2022,Reuters,Andrea Torres,Politics,real
School like surface citizen pretty.,10/11/2023,CNN,Beverly Davies,Science,real
Experience chair you thus industry social.,10/10/2022,Fox News,Whitney Zamora,Health,real
Not language call me report.,9/3/2024,BBC,William Scott,Science,fake
Science woman attention trade assume full.,10/14/2022,Daily News,Jennifer Escobar,Science,fake
Purpose room water personal job probably.,3/3/2025,Daily News,Aaron Beard,Business,fake
Law suddenly should seek.,9/14/2024,NY Times,Susan Butler,Business,real
As fire food matter assume.,3/27/2024,BBC,,Technology,fake
Age score property take war sound.,9/3/2022,,Roy Payne,Sports,fake
Agent sense star.,5/16/2023,Reuters,Marcus Jensen,Business,fake
Long program reveal several room past.,10/9/2023,Fox News,William Duffy,Health,fake
Big marriage deal end.,7/24/2022,Global Times,Alexa Lawson,Business,fake
Meet bar particularly cell.,11/14/2023,The Guardian,Andrew Kemp,Technology,fake
Moment leader reality whom why kid two.,6/3/2023,Daily News,Crystal Garza,Business,real
Television third itself amount off source month according.,7/18/2022,Reuters,Stephanie Phillips,Entertainment,fake
Effect find report cut lose wear save.,10/23/2023,Fox News,Katie Martinez,Business,fake
Figure response bed.,4/8/2024,Global Times,Diane Brown,Technology,real
Relate economy knowledge.,4/22/2023,The Guardian,Ricky Hernandez,Entertainment,real
Protect lot need.,10/27/2024,Reuters,Nicole Diaz,Health,real
Wide win country contain away you both.,4/28/2022,Daily News,David Beasley,Politics,fake
Author talk child expert until.,12/6/2022,Daily News,Ashley Figueroa,Science,fake
Trip certain tax watch.,6/26/2023,NY Times,Albert Garcia,Entertainment,real
Skill class may well natural front.,6/30/2022,Daily News,Gregory Young,Entertainment,real
Save interesting tonight would camera quickly hundred.,8/24/2024,Global Times,Nicole Carroll,Technology,real
Physical since idea throughout.,11/19/2023,Daily News,,Business,real
Discussion these watch seek security in pull structure.,3/21/2025,NY Times,Mary Hernandez,Technology,real
Question future third board president.,10/9/2023,Reuters,James Russell,Technology,real
Green management important lawyer then already.,5/28/2024,BBC,Elizabeth Williams,Health,fake
Opportunity exactly ball father.,2/13/2023,Global Times,,Health,real
Baby south also across surface.,9/8/2022,BBC,Christopher Allen,Health,real
Another everything security design.,3/1/2024,,Chad Preston,Technology,real
Wish language role report morning.,9/11/2023,Daily News,Steven Cooper,Health,real
High any improve economy this.,6/10/2023,CNN,Isaac Fry,Technology,real
Fall news others across fly bad service.,10/22/2024,NY Times,Garrett Davis,Business,fake
Buy expect nearly region game use cell.,2/4/2023,BBC,Noah Reyes,Science,real
Affect think leader series the put bank movie.,2/17/2023,BBC,Joseph Jordan,Health,real
Production adult without young hundred attention yet quickly.,11/4/2024,Fox News,Jodi Webb,Technology,fake
Soldier camera hit record foot staff a.,11/19/2022,BBC,Timothy Walker,Health,fake
Which everybody well he require strong yourself current.,3/29/2024,Global Times,Danielle Nelson,Entertainment,real
Fall poor say very question.,12/13/2023,Global Times,David Armstrong,Health,real
Buy possible blood foreign left most along.,10/14/2023,Daily News,Mr. Mike Ray,Business,real
Family every others some ok conference officer.,10/23/2023,CNN,Miss Alyssa Kramer,Health,real
Represent fill daughter become cup reflect to.,8/3/2024,Global Times,Amanda Bell,Science,real
Official seem hospital top.,7/7/2024,NY Times,Nicole Kelly,Business,real
One because town fact.,2/24/2023,Daily News,Vanessa Campbell,Entertainment,real
Government hope official season heart simple member.,5/15/2024,Fox News,Stephanie Mccoy,Health,fake
Trial exactly rest paper value.,6/22/2024,Reuters,Kelly Schmidt,Business,real
Morning someone if forward far material center.,9/9/2024,NY Times,George Scott,Business,real
